iter	Passed	Remaining
0	10	1049
1	23	1149
2	34	1117
3	38	927
4	51	973
5	57	893
6	67	896
7	76	883
8	86	870
9	95	860
10	105	850
11	114	836
12	123	827
13	133	819
14	142	807
15	151	796
16	160	785
17	169	772
18	178	762
19	187	750
20	196	740
21	206	731
22	216	724
23	226	716
24	235	705
25	244	696
26	254	687
27	263	678
28	273	668
29	281	657
30	291	648
31	300	638
32	309	629
33	319	620
34	328	610
35	337	600
36	347	591
37	357	582
38	366	572
39	375	562
40	384	552
41	393	543
42	403	534
43	413	525
44	421	515
45	431	506
46	440	497
47	450	487
48	459	477
49	468	468
50	478	459
51	487	449
52	495	439
53	505	430
54	514	421
55	519	407
56	528	398
57	538	389
58	547	380
59	556	371
60	566	362
61	576	353
62	585	343
63	595	335
64	606	326
65	616	317
66	626	308
67	635	298
68	644	289
69	654	280
70	663	271
71	673	261
72	683	252
73	692	243
74	702	234
75	711	224
76	721	215
77	724	204
78	733	195
79	742	185
80	751	176
81	761	167
82	770	157
83	779	148
84	789	139
85	798	130
86	808	120
87	817	111
88	827	102
89	836	92
90	846	83
91	855	74
92	865	65
93	874	55
94	883	46
95	892	37
96	902	27
97	911	18
98	921	9
99	931	0
